max_depth,learning_rate,n_estimators,subsample,mean_rmse,std_rmse
7,0.01,500,0.8,134.5910030208092,11.914575879940617
7,0.05,100,0.8,134.6268608645909,12.222361154398293
7,0.05,100,1.0,134.6975954676135,11.771121591291859
7,0.01,500,1.0,134.73143125755678,11.670348254628353
5,0.01,500,1.0,135.50207598819958,9.297670848776011
5,0.05,100,1.0,135.51627861461995,8.980771986110192
5,0.01,500,0.8,135.7099186874959,9.138321640800383
5,0.05,100,0.8,135.8879365610813,8.541906044707195
5,0.1,100,1.0,139.71002244774712,14.451311297010994
7,0.05,500,0.8,140.04666622460948,17.50174112317411
7,0.05,500,1.0,140.55459234055456,17.544486858947113
7,0.1,100,1.0,141.168335126056,17.968069590391647
7,0.1,100,0.8,142.08028287974653,15.448781521112311
7,0.1,500,1.0,142.52209375696594,18.3213794838018
5,0.1,500,1.0,142.74395343564743,19.831441442993526
7,0.1,500,0.8,142.87714978311732,15.621242331331205
5,0.1,100,0.8,144.67037341861416,20.75670194270403
5,0.05,500,0.8,145.19757053407028,22.2948650453619
5,0.05,500,1.0,148.3785684739345,24.81985842508538
5,0.1,500,0.8,149.56970123092873,27.694336105184927
3,0.1,100,0.8,150.9208542309362,16.561503094747465
3,0.1,100,1.0,151.45360697856705,13.889287044250068
3,0.05,500,0.8,153.8372302286945,26.869324232348777
3,0.05,500,1.0,156.87928855400844,30.88888992782377
3,0.1,500,0.8,172.75478175729705,34.062747235425995
3,0.1,500,1.0,176.0536285679879,37.54319996411563
3,0.05,100,0.8,229.84413933482784,37.07338708864569
3,0.05,100,1.0,231.5814353878403,36.943611470002125
3,0.01,500,1.0,233.91180616403972,39.777296740211455
3,0.01,500,0.8,234.48687450819224,39.72616750666865
7,0.01,100,1.0,608.4764431699522,80.78524764368163
7,0.01,100,0.8,608.4779791697465,80.79664992540022
5,0.01,100,0.8,610.0009021071335,80.82355859156053
5,0.01,100,1.0,610.0025170280609,80.82916879402809
3,0.01,100,0.8,626.1631837628454,81.57854056014754
3,0.01,100,1.0,626.182139718102,81.54066647404434
