secid,date,days,volatility,index_flag
101594,2020-08-31,10,0.267962,0
101594,2020-08-31,14,0.304956,0
101594,2020-08-31,30,0.313118,0
101594,2020-08-31,60,0.375779,0
101594,2020-08-31,91,0.352131,0
101594,2020-08-31,122,0.318853,0
101594,2020-08-31,152,0.342692,0
101594,2020-08-31,182,0.521695,0
101594,2020-08-31,273,0.47112,0
101594,2020-08-31,365,0.418142,0
101594,2020-08-31,547,0.37347,0
101594,2020-08-31,730,0.375006,0
101594,2020-08-31,1825,0.290665,0
101594,2020-09-01,10,0.314391,0
101594,2020-09-01,14,0.332726,0
101594,2020-09-01,30,0.321704,0
101594,2020-09-01,60,0.378614,0
101594,2020-09-01,91,0.357629,0
101594,2020-09-01,122,0.321734,0
101594,2020-09-01,152,0.345923,0
101594,2020-09-01,182,0.52136,0
101594,2020-09-01,273,0.472226,0
101594,2020-09-01,365,0.418806,0
101594,2020-09-01,547,0.374628,0
101594,2020-09-01,730,0.375565,0
101594,2020-09-01,1825,0.291032,0
101594,2020-09-02,10,0.341378,0
101594,2020-09-02,14,0.374324,0
101594,2020-09-02,30,0.33456,0
101594,2020-09-02,60,0.381166,0
101594,2020-09-02,91,0.36217,0
101594,2020-09-02,122,0.323476,0
101594,2020-09-02,152,0.347061,0
101594,2020-09-02,182,0.519433,0
101594,2020-09-02,273,0.473065,0
101594,2020-09-02,365,0.419129,0
101594,2020-09-02,547,0.375116,0
101594,2020-09-02,730,0.375534,0
101594,2020-09-02,1825,0.291159,0
101594,2020-09-03,10,0.606972,0
101594,2020-09-03,14,0.604625,0
101594,2020-09-03,30,0.45732,0
101594,2020-09-03,60,0.436363,0
101594,2020-09-03,91,0.403585,0
101594,2020-09-03,122,0.358354,0
101594,2020-09-03,152,0.372757,0
101594,2020-09-03,182,0.53142,0
101594,2020-09-03,273,0.483538,0
101594,2020-09-03,365,0.427857,0
101594,2020-09-03,547,0.381609,0
101594,2020-09-03,730,0.38033,0
101594,2020-09-03,1825,0.293505,0
101594,2020-09-04,10,0.607341,0
101594,2020-09-04,14,0.542264,0
101594,2020-09-04,30,0.457499,0
101594,2020-09-04,60,0.433821,0
101594,2020-09-04,91,0.401345,0
101594,2020-09-04,122,0.358119,0
101594,2020-09-04,152,0.371107,0
101594,2020-09-04,182,0.530871,0
101594,2020-09-04,273,0.483192,0
101594,2020-09-04,365,0.427564,0
101594,2020-09-04,547,0.381432,0
101594,2020-09-04,730,0.380287,0
101594,2020-09-04,1825,0.293388,0
101594,2020-09-08,10,0.815464,0
101594,2020-09-08,14,0.666142,0
101594,2020-09-08,30,0.514423,0
101594,2020-09-08,60,0.484659,0
101594,2020-09-08,91,0.428581,0
101594,2020-09-08,122,0.383569,0
101594,2020-09-08,152,0.373048,0
101594,2020-09-08,182,0.52085,0
101594,2020-09-08,273,0.491398,0
101594,2020-09-08,365,0.434567,0
101594,2020-09-08,547,0.38563,0
101594,2020-09-08,730,0.383713,0
101594,2020-09-08,1825,0.294811,0
101594,2020-09-09,10,0.816586,0
101594,2020-09-09,14,0.708529,0
101594,2020-09-09,30,0.529589,0
101594,2020-09-09,60,0.486375,0
101594,2020-09-09,91,0.432182,0
101594,2020-09-09,122,0.385912,0
101594,2020-09-09,152,0.374981,0
101594,2020-09-09,182,0.520249,0
101594,2020-09-09,273,0.493159,0
101594,2020-09-09,365,0.43598,0
101594,2020-09-09,547,0.386723,0
101594,2020-09-09,730,0.384489,0
101594,2020-09-09,1825,0.29524,0
101594,2020-09-10,10,0.768376,0
101594,2020-09-10,14,0.720696,0
101594,2020-09-10,30,0.531976,0
101594,2020-09-10,60,0.489289,0
101594,2020-09-10,91,0.425217,0
101594,2020-09-10,122,0.390961,0
101594,2020-09-10,152,0.3779,0
101594,2020-09-10,182,0.499786,0
101594,2020-09-10,273,0.494943,0
101594,2020-09-10,365,0.436562,0
101594,2020-09-10,547,0.38782,0
101594,2020-09-10,730,0.384916,0
101594,2020-09-10,1825,0.295524,0
101594,2020-09-11,10,0.660841,0
101594,2020-09-11,14,0.718682,0
101594,2020-09-11,30,0.522016,0
101594,2020-09-11,60,0.490633,0
101594,2020-09-11,91,0.426663,0
101594,2020-09-11,122,0.391182,0
101594,2020-09-11,152,0.377152,0
101594,2020-09-11,182,0.47595,0
101594,2020-09-11,273,0.495132,0
101594,2020-09-11,365,0.436828,0
101594,2020-09-11,547,0.387968,0
101594,2020-09-11,730,0.384929,0
101594,2020-09-11,1825,0.295476,0
101594,2020-09-14,10,0.713485,0
101594,2020-09-14,14,0.711304,0
101594,2020-09-14,30,0.542536,0
101594,2020-09-14,60,0.504106,0
101594,2020-09-14,91,0.42933,0
101594,2020-09-14,122,0.396804,0
101594,2020-09-14,152,0.375061,0
101594,2020-09-14,182,0.432468,0
101594,2020-09-14,273,0.495837,0
101594,2020-09-14,365,0.437059,0
101594,2020-09-14,547,0.388504,0
101594,2020-09-14,730,0.38539,0
101594,2020-09-14,1825,0.295942,0
101594,2020-09-15,10,0.642196,0
101594,2020-09-15,14,0.6509,0
101594,2020-09-15,30,0.528822,0
101594,2020-09-15,60,0.503895,0
101594,2020-09-15,91,0.427154,0
101594,2020-09-15,122,0.394447,0
101594,2020-09-15,152,0.375055,0
101594,2020-09-15,182,0.429108,0
101594,2020-09-15,273,0.495838,0
101594,2020-09-15,365,0.437055,0
101594,2020-09-15,547,0.388454,0
101594,2020-09-15,730,0.385006,0
101594,2020-09-15,1825,0.295766,0
101594,2020-09-16,10,0.60134,0
101594,2020-09-16,14,0.654526,0
101594,2020-09-16,30,0.539079,0
101594,2020-09-16,60,0.50481,0
101594,2020-09-16,91,0.432501,0
101594,2020-09-16,122,0.39665,0
101594,2020-09-16,152,0.377816,0
101594,2020-09-16,182,0.429889,0
101594,2020-09-16,273,0.497253,0
101594,2020-09-16,365,0.438294,0
101594,2020-09-16,547,0.389261,0
101594,2020-09-16,730,0.385122,0
101594,2020-09-16,1825,0.296085,0
101594,2020-09-17,10,0.557516,0
101594,2020-09-17,14,0.525455,0
101594,2020-09-17,30,0.540374,0
101594,2020-09-17,60,0.501052,0
101594,2020-09-17,91,0.434297,0
101594,2020-09-17,122,0.396837,0
101594,2020-09-17,152,0.377342,0
101594,2020-09-17,182,0.430544,0
101594,2020-09-17,273,0.497721,0
101594,2020-09-17,365,0.438654,0
101594,2020-09-17,547,0.389518,0
101594,2020-09-17,730,0.385323,0
101594,2020-09-17,1825,0.296068,0
101594,2020-09-18,10,0.445152,0
101594,2020-09-18,14,0.532939,0
101594,2020-09-18,30,0.550041,0
101594,2020-09-18,60,0.506284,0
101594,2020-09-18,91,0.439819,0
101594,2020-09-18,122,0.401378,0
101594,2020-09-18,152,0.379707,0
101594,2020-09-18,182,0.422064,0
101594,2020-09-18,273,0.499323,0
101594,2020-09-18,365,0.439914,0
101594,2020-09-18,547,0.389547,0
101594,2020-09-18,730,0.38606,0
101594,2020-09-18,1825,0.296327,0
101594,2020-09-21,10,0.444027,0
101594,2020-09-21,14,0.548195,0
101594,2020-09-21,30,0.533447,0
101594,2020-09-21,60,0.50628,0
101594,2020-09-21,91,0.440738,0
101594,2020-09-21,122,0.407402,0
101594,2020-09-21,152,0.377524,0
101594,2020-09-21,182,0.421823,0
101594,2020-09-21,273,0.500091,0
101594,2020-09-21,365,0.440406,0
101594,2020-09-21,547,0.389746,0
101594,2020-09-21,730,0.386849,0
101594,2020-09-21,1825,0.29666,0
101594,2020-09-22,10,0.420224,0
101594,2020-09-22,14,0.442807,0
101594,2020-09-22,30,0.525344,0
101594,2020-09-22,60,0.506761,0
101594,2020-09-22,91,0.439967,0
101594,2020-09-22,122,0.405446,0
101594,2020-09-22,152,0.377684,0
101594,2020-09-22,182,0.402036,0
101594,2020-09-22,273,0.500323,0
101594,2020-09-22,365,0.440587,0
101594,2020-09-22,547,0.389718,0
101594,2020-09-22,730,0.386593,0
101594,2020-09-22,1825,0.296722,0
101594,2020-09-23,10,0.456672,0
101594,2020-09-23,14,0.42629,0
101594,2020-09-23,30,0.537169,0
101594,2020-09-23,60,0.513882,0
101594,2020-09-23,91,0.447609,0
101594,2020-09-23,122,0.411036,0
101594,2020-09-23,152,0.382922,0
101594,2020-09-23,182,0.40739,0
101594,2020-09-23,273,0.501733,0
101594,2020-09-23,365,0.442891,0
101594,2020-09-23,547,0.391325,0
101594,2020-09-23,730,0.387757,0
101594,2020-09-23,1825,0.297371,0
101594,2020-09-24,10,0.414163,0
101594,2020-09-24,14,0.413079,0
101594,2020-09-24,30,0.540718,0
101594,2020-09-24,60,0.507987,0
101594,2020-09-24,91,0.447368,0
101594,2020-09-24,122,0.408773,0
101594,2020-09-24,152,0.381215,0
101594,2020-09-24,182,0.401976,0
101594,2020-09-24,273,0.501411,0
101594,2020-09-24,365,0.442776,0
101594,2020-09-24,547,0.39134,0
101594,2020-09-24,730,0.387792,0
101594,2020-09-24,1825,0.297281,0
101594,2020-09-25,10,0.484694,0
101594,2020-09-25,14,0.458297,0
101594,2020-09-25,30,0.557527,0
101594,2020-09-25,60,0.512136,0
101594,2020-09-25,91,0.447075,0
101594,2020-09-25,122,0.412298,0
101594,2020-09-25,152,0.382732,0
101594,2020-09-25,182,0.399121,0
101594,2020-09-25,273,0.503004,0
101594,2020-09-25,365,0.444016,0
101594,2020-09-25,547,0.392357,0
101594,2020-09-25,730,0.388545,0
101594,2020-09-25,1825,0.297592,0
101594,2020-09-28,10,0.454289,0
101594,2020-09-28,14,0.448562,0
101594,2020-09-28,30,0.580647,0
101594,2020-09-28,60,0.522771,0
101594,2020-09-28,91,0.447217,0
101594,2020-09-28,122,0.418443,0
101594,2020-09-28,152,0.383701,0
101594,2020-09-28,182,0.398636,0
101594,2020-09-28,273,0.503588,0
101594,2020-09-28,365,0.444429,0
101594,2020-09-28,547,0.392726,0
101594,2020-09-28,730,0.389016,0
101594,2020-09-28,1825,0.297474,0
101594,2020-09-29,10,0.431397,0
101594,2020-09-29,14,0.44982,0
101594,2020-09-29,30,0.566074,0
101594,2020-09-29,60,0.464079,0
101594,2020-09-29,91,0.447701,0
101594,2020-09-29,122,0.416458,0
101594,2020-09-29,152,0.383293,0
101594,2020-09-29,182,0.398903,0
101594,2020-09-29,273,0.50369,0
101594,2020-09-29,365,0.444087,0
101594,2020-09-29,547,0.392794,0
101594,2020-09-29,730,0.388682,0
101594,2020-09-29,1825,0.29748,0
101594,2020-09-30,10,0.400623,0
101594,2020-09-30,14,0.425446,0
101594,2020-09-30,30,0.554133,0
101594,2020-09-30,60,0.45952,0
101594,2020-09-30,91,0.448132,0
101594,2020-09-30,122,0.414406,0
101594,2020-09-30,152,0.382302,0
101594,2020-09-30,182,0.390266,0
101594,2020-09-30,273,0.502559,0
101594,2020-09-30,365,0.444252,0
101594,2020-09-30,547,0.392805,0
101594,2020-09-30,730,0.388782,0
101594,2020-09-30,1825,0.297531,0
101594,2020-10-01,10,0.380022,0
101594,2020-10-01,14,0.411855,0
101594,2020-10-01,30,0.533099,0
101594,2020-10-01,60,0.454276,0
101594,2020-10-01,91,0.448155,0
101594,2020-10-01,122,0.414244,0
101594,2020-10-01,152,0.380525,0
101594,2020-10-01,182,0.389959,0
101594,2020-10-01,273,0.502065,0
101594,2020-10-01,365,0.443375,0
101594,2020-10-01,547,0.39282,0
101594,2020-10-01,730,0.388778,0
101594,2020-10-01,1825,0.29743,0
101594,2020-10-02,10,0.435496,0
101594,2020-10-02,14,0.413354,0
101594,2020-10-02,30,0.538679,0
101594,2020-10-02,60,0.458473,0
101594,2020-10-02,91,0.45054,0
101594,2020-10-02,122,0.4191,0
101594,2020-10-02,152,0.383046,0
101594,2020-10-02,182,0.392674,0
101594,2020-10-02,273,0.503516,0
101594,2020-10-02,365,0.444788,0
101594,2020-10-02,547,0.393867,0
101594,2020-10-02,730,0.38946,0
101594,2020-10-02,1825,0.297701,0
101594,2020-10-05,10,0.36742,0
101594,2020-10-05,14,0.414101,0
101594,2020-10-05,30,0.488554,0
101594,2020-10-05,60,0.467822,0
101594,2020-10-05,91,0.451408,0
101594,2020-10-05,122,0.423944,0
101594,2020-10-05,152,0.38807,0
101594,2020-10-05,182,0.378122,0
101594,2020-10-05,273,0.504517,0
101594,2020-10-05,365,0.444946,0
101594,2020-10-05,547,0.394517,0
101594,2020-10-05,730,0.389945,0
101594,2020-10-05,1825,0.298206,0
101594,2020-10-06,10,0.396484,0
101594,2020-10-06,14,0.443798,0
101594,2020-10-06,30,0.485423,0
101594,2020-10-06,60,0.470009,0
101594,2020-10-06,91,0.455845,0
101594,2020-10-06,122,0.425264,0
101594,2020-10-06,152,0.391358,0
101594,2020-10-06,182,0.380429,0
101594,2020-10-06,273,0.505759,0
101594,2020-10-06,365,0.446086,0
101594,2020-10-06,547,0.395199,0
101594,2020-10-06,730,0.390158,0
101594,2020-10-06,1825,0.298459,0
101594,2020-10-07,10,0.377513,0
101594,2020-10-07,14,0.373478,0
101594,2020-10-07,30,0.478536,0
101594,2020-10-07,60,0.465972,0
101594,2020-10-07,91,0.454924,0
101594,2020-10-07,122,0.423353,0
101594,2020-10-07,152,0.390687,0
101594,2020-10-07,182,0.379684,0
101594,2020-10-07,273,0.505792,0
101594,2020-10-07,365,0.446066,0
101594,2020-10-07,547,0.395355,0
101594,2020-10-07,730,0.3903,0
101594,2020-10-07,1825,0.298372,0
101594,2020-10-08,10,0.353904,0
101594,2020-10-08,14,0.375132,0
101594,2020-10-08,30,0.414641,0
101594,2020-10-08,60,0.460412,0
101594,2020-10-08,91,0.454989,0
101594,2020-10-08,122,0.423417,0
101594,2020-10-08,152,0.38889,0
101594,2020-10-08,182,0.379737,0
101594,2020-10-08,273,0.505335,0
101594,2020-10-08,365,0.445996,0
101594,2020-10-08,547,0.395355,0
