secid,date,rate
108105,2020-08-31,1.588993
108105,2020-09-01,1.590263
108105,2020-09-02,1.572741
108105,2020-09-03,1.577477
108105,2020-09-04,1.58221
108105,2020-09-08,1.601256
108105,2020-09-09,1.605431
108105,2020-09-10,1.610471
108105,2020-09-11,1.611599
108105,2020-09-14,1.592573
108105,2020-09-15,1.595885
108105,2020-09-16,1.61005
108105,2020-09-17,1.61435
108105,2020-09-18,1.615432
108105,2020-09-21,1.608109
108105,2020-09-22,1.608686
108105,2020-09-23,1.609786
108105,2020-09-24,1.608937
108105,2020-09-25,1.614745
108105,2020-09-28,1.616842
108105,2020-09-29,1.621839
108105,2020-09-30,1.636531
108105,2020-10-01,1.641054
108105,2020-10-02,1.646084
108105,2020-10-05,1.645623
108105,2020-10-06,1.648864
108105,2020-10-07,1.650549
108105,2020-10-08,1.637129
108105,2020-10-09,1.634105
108105,2020-10-12,1.632008
108105,2020-10-13,1.62591
108105,2020-10-14,1.623202
108105,2020-10-15,1.625211
108105,2020-10-16,1.624872
108105,2020-10-19,1.627284
108105,2020-10-20,1.626951
108105,2020-10-21,1.626101
108105,2020-10-22,1.625327
108105,2020-10-23,1.627107
108105,2020-10-26,1.629162
108105,2020-10-27,1.629532
108105,2020-10-28,1.635006
108105,2020-10-29,1.651394
108105,2020-10-30,1.63917
108105,2020-11-02,1.627744
108105,2020-11-03,1.62886
108105,2020-11-04,1.630081
108105,2020-11-05,1.6282
108105,2020-11-06,1.624545
108105,2020-11-09,1.612943
108105,2020-11-10,1.608579
108105,2020-11-11,1.608437
108105,2020-11-12,1.608183
108105,2020-11-13,1.603097
108105,2020-11-16,1.601711
108105,2020-11-17,1.595069
108105,2020-11-18,1.594735
108105,2020-11-19,1.589954
108105,2020-11-20,1.584989
108105,2020-11-23,1.587201
108105,2020-11-24,1.584062
108105,2020-11-25,1.577676
108105,2020-11-27,1.574826
108105,2020-11-30,1.589037
108105,2020-12-01,1.58956
108105,2020-12-02,1.58451
108105,2020-12-03,1.59265
108105,2020-12-04,1.589995
108105,2020-12-07,1.586108
108105,2020-12-08,1.578918
108105,2020-12-09,1.5415
108105,2020-12-10,1.533434
108105,2020-12-11,1.527848
108105,2020-12-14,1.495974
108105,2020-12-15,1.493418
108105,2020-12-16,1.489156
