secid,date,days,volatility,index_flag
108105,2020-08-31,10,0.077505,1
108105,2020-08-31,14,0.074191,1
108105,2020-08-31,30,0.080902,1
108105,2020-08-31,60,0.111899,1
108105,2020-08-31,91,0.19446,1
108105,2020-08-31,122,0.19459,1
108105,2020-08-31,152,0.244198,1
108105,2020-08-31,182,0.448097,1
108105,2020-08-31,273,0.383177,1
108105,2020-08-31,365,0.334424,1
108105,2020-08-31,547,0.283668,1
108105,2020-08-31,730,0.264218,1
108105,2020-08-31,1825,0.191753,1
108105,2020-09-01,10,0.072339,1
108105,2020-09-01,14,0.076508,1
108105,2020-09-01,30,0.080265,1
108105,2020-09-01,60,0.111142,1
108105,2020-09-01,91,0.19438,1
108105,2020-09-01,122,0.193618,1
108105,2020-09-01,152,0.242429,1
108105,2020-09-01,182,0.446224,1
108105,2020-09-01,273,0.383165,1
108105,2020-09-01,365,0.333829,1
108105,2020-09-01,547,0.2837,1
108105,2020-09-01,730,0.264003,1
108105,2020-09-01,1825,0.191779,1
108105,2020-09-02,10,0.087039,1
108105,2020-09-02,14,0.07986,1
108105,2020-09-02,30,0.088987,1
108105,2020-09-02,60,0.113845,1
108105,2020-09-02,91,0.194807,1
108105,2020-09-02,122,0.193692,1
108105,2020-09-02,152,0.241414,1
108105,2020-09-02,182,0.44304,1
108105,2020-09-02,273,0.383481,1
108105,2020-09-02,365,0.334053,1
108105,2020-09-02,547,0.283947,1
108105,2020-09-02,730,0.26395,1
108105,2020-09-02,1825,0.19176,1
108105,2020-09-03,10,0.249546,1
108105,2020-09-03,14,0.224879,1
108105,2020-09-03,30,0.160743,1
108105,2020-09-03,60,0.146014,1
108105,2020-09-03,91,0.208583,1
108105,2020-09-03,122,0.204566,1
108105,2020-09-03,152,0.247756,1
108105,2020-09-03,182,0.443244,1
108105,2020-09-03,273,0.385802,1
108105,2020-09-03,365,0.33589,1
108105,2020-09-03,547,0.285418,1
108105,2020-09-03,730,0.265168,1
108105,2020-09-03,1825,0.192361,1
108105,2020-09-04,10,0.253612,1
108105,2020-09-04,14,0.23033,1
108105,2020-09-04,30,0.163488,1
108105,2020-09-04,60,0.144254,1
108105,2020-09-04,91,0.203637,1
108105,2020-09-04,122,0.205001,1
108105,2020-09-04,152,0.247189,1
108105,2020-09-04,182,0.442682,1
108105,2020-09-04,273,0.385804,1
108105,2020-09-04,365,0.335778,1
108105,2020-09-04,547,0.285418,1
108105,2020-09-04,730,0.265227,1
108105,2020-09-04,1825,0.192323,1
108105,2020-09-08,10,0.316597,1
108105,2020-09-08,14,0.278424,1
108105,2020-09-08,30,0.194936,1
108105,2020-09-08,60,0.160747,1
108105,2020-09-08,91,0.211535,1
108105,2020-09-08,122,0.21111,1
108105,2020-09-08,152,0.227729,1
108105,2020-09-08,182,0.426434,1
108105,2020-09-08,273,0.388238,1
108105,2020-09-08,365,0.337668,1
108105,2020-09-08,547,0.286519,1
108105,2020-09-08,730,0.266235,1
108105,2020-09-08,1825,0.192473,1
108105,2020-09-09,10,0.335909,1
108105,2020-09-09,14,0.297887,1
108105,2020-09-09,30,0.207027,1
108105,2020-09-09,60,0.165349,1
108105,2020-09-09,91,0.214669,1
108105,2020-09-09,122,0.212231,1
108105,2020-09-09,152,0.228386,1
108105,2020-09-09,182,0.420932,1
108105,2020-09-09,273,0.388894,1
108105,2020-09-09,365,0.338231,1
108105,2020-09-09,547,0.286953,1
108105,2020-09-09,730,0.266596,1
108105,2020-09-09,1825,0.192663,1
108105,2020-09-10,10,0.344255,1
108105,2020-09-10,14,0.306744,1
108105,2020-09-10,30,0.214699,1
108105,2020-09-10,60,0.169911,1
108105,2020-09-10,91,0.178576,1
108105,2020-09-10,122,0.214855,1
108105,2020-09-10,152,0.229301,1
108105,2020-09-10,182,0.396241,1
108105,2020-09-10,273,0.389347,1
108105,2020-09-10,365,0.338656,1
108105,2020-09-10,547,0.287291,1
108105,2020-09-10,730,0.266891,1
108105,2020-09-10,1825,0.192758,1
108105,2020-09-11,10,0.334565,1
108105,2020-09-11,14,0.301175,1
108105,2020-09-11,30,0.208768,1
108105,2020-09-11,60,0.167916,1
108105,2020-09-11,91,0.177107,1
108105,2020-09-11,122,0.211326,1
108105,2020-09-11,152,0.228224,1
108105,2020-09-11,182,0.376593,1
108105,2020-09-11,273,0.389347,1
108105,2020-09-11,365,0.338647,1
108105,2020-09-11,547,0.287289,1
108105,2020-09-11,730,0.266891,1
108105,2020-09-11,1825,0.192682,1
108105,2020-09-14,10,0.320745,1
108105,2020-09-14,14,0.316079,1
108105,2020-09-14,30,0.219154,1
108105,2020-09-14,60,0.170267,1
108105,2020-09-14,91,0.178005,1
108105,2020-09-14,122,0.211282,1
108105,2020-09-14,152,0.222896,1
108105,2020-09-14,182,0.328697,1
108105,2020-09-14,273,0.389532,1
108105,2020-09-14,365,0.338866,1
108105,2020-09-14,547,0.287439,1
108105,2020-09-14,730,0.267278,1
108105,2020-09-14,1825,0.192788,1
108105,2020-09-15,10,0.291253,1
108105,2020-09-15,14,0.31373,1
108105,2020-09-15,30,0.214319,1
108105,2020-09-15,60,0.170507,1
108105,2020-09-15,91,0.174705,1
108105,2020-09-15,122,0.210078,1
108105,2020-09-15,152,0.222872,1
108105,2020-09-15,182,0.319075,1
108105,2020-09-15,273,0.389573,1
108105,2020-09-15,365,0.33888,1
108105,2020-09-15,547,0.287452,1
108105,2020-09-15,730,0.267034,1
108105,2020-09-15,1825,0.192795,1
108105,2020-09-16,10,0.266645,1
108105,2020-09-16,14,0.292154,1
108105,2020-09-16,30,0.21483,1
108105,2020-09-16,60,0.16904,1
108105,2020-09-16,91,0.174835,1
108105,2020-09-16,122,0.20914,1
108105,2020-09-16,152,0.219743,1
108105,2020-09-16,182,0.309262,1
108105,2020-09-16,273,0.389615,1
108105,2020-09-16,365,0.338912,1
108105,2020-09-16,547,0.287482,1
108105,2020-09-16,730,0.267025,1
108105,2020-09-16,1825,0.192663,1
108105,2020-09-17,10,0.24972,1
108105,2020-09-17,14,0.235456,1
108105,2020-09-17,30,0.216629,1
108105,2020-09-17,60,0.168627,1
108105,2020-09-17,91,0.175922,1
108105,2020-09-17,122,0.203665,1
108105,2020-09-17,152,0.219237,1
108105,2020-09-17,182,0.309653,1
108105,2020-09-17,273,0.389717,1
108105,2020-09-17,365,0.339029,1
108105,2020-09-17,547,0.287561,1
108105,2020-09-17,730,0.267073,1
108105,2020-09-17,1825,0.192627,1
108105,2020-09-18,10,0.200599,1
108105,2020-09-18,14,0.238052,1
108105,2020-09-18,30,0.219474,1
108105,2020-09-18,60,0.170117,1
108105,2020-09-18,91,0.177155,1
108105,2020-09-18,122,0.203793,1
108105,2020-09-18,152,0.219071,1
108105,2020-09-18,182,0.303001,1
108105,2020-09-18,273,0.389906,1
108105,2020-09-18,365,0.33923,1
108105,2020-09-18,547,0.287595,1
108105,2020-09-18,730,0.267196,1
108105,2020-09-18,1825,0.192621,1
108105,2020-09-21,10,0.156758,1
108105,2020-09-21,14,0.228089,1
108105,2020-09-21,30,0.227119,1
108105,2020-09-21,60,0.173435,1
108105,2020-09-21,91,0.178618,1
108105,2020-09-21,122,0.205182,1
108105,2020-09-21,152,0.211528,1
108105,2020-09-21,182,0.300141,1
108105,2020-09-21,273,0.390146,1
108105,2020-09-21,365,0.339403,1
108105,2020-09-21,547,0.287318,1
108105,2020-09-21,730,0.267541,1
108105,2020-09-21,1825,0.192753,1
108105,2020-09-22,10,0.164371,1
108105,2020-09-22,14,0.195287,1
108105,2020-09-22,30,0.225367,1
108105,2020-09-22,60,0.174391,1
108105,2020-09-22,91,0.179531,1
108105,2020-09-22,122,0.204564,1
108105,2020-09-22,152,0.211955,1
108105,2020-09-22,182,0.273789,1
108105,2020-09-22,273,0.390331,1
108105,2020-09-22,365,0.339552,1
108105,2020-09-22,547,0.287433,1
108105,2020-09-22,730,0.267373,1
108105,2020-09-22,1825,0.192798,1
108105,2020-09-23,10,0.199253,1
108105,2020-09-23,14,0.19111,1
108105,2020-09-23,30,0.234752,1
108105,2020-09-23,60,0.182612,1
108105,2020-09-23,91,0.178237,1
108105,2020-09-23,122,0.207984,1
108105,2020-09-23,152,0.214761,1
108105,2020-09-23,182,0.27601,1
108105,2020-09-23,273,0.39029,1
108105,2020-09-23,365,0.340315,1
108105,2020-09-23,547,0.288073,1
108105,2020-09-23,730,0.267911,1
108105,2020-09-23,1825,0.193108,1
108105,2020-09-24,10,0.176277,1
108105,2020-09-24,14,0.180071,1
108105,2020-09-24,30,0.234554,1
108105,2020-09-24,60,0.180554,1
108105,2020-09-24,91,0.177139,1
108105,2020-09-24,122,0.206783,1
108105,2020-09-24,152,0.213752,1
108105,2020-09-24,182,0.263155,1
108105,2020-09-24,273,0.39026,1
108105,2020-09-24,365,0.340276,1
108105,2020-09-24,547,0.288051,1
108105,2020-09-24,730,0.267916,1
108105,2020-09-24,1825,0.193034,1
108105,2020-09-25,10,0.206376,1
108105,2020-09-25,14,0.202996,1
108105,2020-09-25,30,0.239308,1
108105,2020-09-25,60,0.183708,1
108105,2020-09-25,91,0.171992,1
108105,2020-09-25,122,0.207455,1
108105,2020-09-25,152,0.213914,1
108105,2020-09-25,182,0.258867,1
108105,2020-09-25,273,0.390691,1
108105,2020-09-25,365,0.340618,1
108105,2020-09-25,547,0.288316,1
108105,2020-09-25,730,0.268132,1
108105,2020-09-25,1825,0.193081,1
108105,2020-09-28,10,0.258065,1
108105,2020-09-28,14,0.209948,1
108105,2020-09-28,30,0.251883,1
108105,2020-09-28,60,0.188734,1
108105,2020-09-28,91,0.17245,1
108105,2020-09-28,122,0.210026,1
108105,2020-09-28,152,0.212424,1
108105,2020-09-28,182,0.255877,1
108105,2020-09-28,273,0.391062,1
108105,2020-09-28,365,0.340924,1
108105,2020-09-28,547,0.288551,1
108105,2020-09-28,730,0.268625,1
108105,2020-09-28,1825,0.19282,1
108105,2020-09-29,10,0.238718,1
108105,2020-09-29,14,0.207741,1
108105,2020-09-29,30,0.245663,1
108105,2020-09-29,60,0.188409,1
108105,2020-09-29,91,0.170584,1
108105,2020-09-29,122,0.209025,1
108105,2020-09-29,152,0.212004,1
108105,2020-09-29,182,0.254763,1
108105,2020-09-29,273,0.391092,1
108105,2020-09-29,365,0.340935,1
108105,2020-09-29,547,0.288441,1
108105,2020-09-29,730,0.268382,1
108105,2020-09-29,1825,0.192833,1
108105,2020-09-30,10,0.225017,1
108105,2020-09-30,14,0.213049,1
108105,2020-09-30,30,0.248407,1
108105,2020-09-30,60,0.187061,1
108105,2020-09-30,91,0.170999,1
108105,2020-09-30,122,0.208152,1
108105,2020-09-30,152,0.20709,1
108105,2020-09-30,182,0.245866,1
108105,2020-09-30,273,0.390161,1
108105,2020-09-30,365,0.34078,1
108105,2020-09-30,547,0.288511,1
108105,2020-09-30,730,0.26843,1
108105,2020-09-30,1825,0.192766,1
108105,2020-10-01,10,0.208538,1
108105,2020-10-01,14,0.210135,1
108105,2020-10-01,30,0.247467,1
108105,2020-10-01,60,0.185159,1
108105,2020-10-01,91,0.171064,1
108105,2020-10-01,122,0.208225,1
108105,2020-10-01,152,0.206177,1
108105,2020-10-01,182,0.244224,1
108105,2020-10-01,273,0.390092,1
108105,2020-10-01,365,0.340301,1
108105,2020-10-01,547,0.288535,1
108105,2020-10-01,730,0.268453,1
108105,2020-10-01,1825,0.192701,1
108105,2020-10-02,10,0.21558,1
108105,2020-10-02,14,0.207688,1
108105,2020-10-02,30,0.240508,1
108105,2020-10-02,60,0.186136,1
108105,2020-10-02,91,0.171059,1
108105,2020-10-02,122,0.208678,1
108105,2020-10-02,152,0.205933,1
108105,2020-10-02,182,0.243536,1
108105,2020-10-02,273,0.390166,1
108105,2020-10-02,365,0.340375,1
108105,2020-10-02,547,0.288648,1
108105,2020-10-02,730,0.268545,1
108105,2020-10-02,1825,0.192677,1
108105,2020-10-05,10,0.174495,1
108105,2020-10-05,14,0.210633,1
108105,2020-10-05,30,0.223786,1
108105,2020-10-05,60,0.194346,1
108105,2020-10-05,91,0.171814,1
108105,2020-10-05,122,0.207428,1
108105,2020-10-05,152,0.208637,1
108105,2020-10-05,182,0.225992,1
108105,2020-10-05,273,0.390679,1
108105,2020-10-05,365,0.340543,1
108105,2020-10-05,547,0.288978,1
108105,2020-10-05,730,0.269,1
108105,2020-10-05,1825,0.192786,1
108105,2020-10-06,10,0.197866,1
108105,2020-10-06,14,0.22453,1
108105,2020-10-06,30,0.22331,1
108105,2020-10-06,60,0.197647,1
108105,2020-10-06,91,0.172823,1
108105,2020-10-06,122,0.207772,1
108105,2020-10-06,152,0.209499,1
108105,2020-10-06,182,0.227075,1
108105,2020-10-06,273,0.391014,1
108105,2020-10-06,365,0.340821,1
108105,2020-10-06,547,0.289221,1
108105,2020-10-06,730,0.268926,1
108105,2020-10-06,1825,0.192859,1
108105,2020-10-07,10,0.200622,1
108105,2020-10-07,14,0.186292,1
108105,2020-10-07,30,0.22645,1
108105,2020-10-07,60,0.199709,1
108105,2020-10-07,91,0.175305,1
108105,2020-10-07,122,0.208504,1
108105,2020-10-07,152,0.209593,1
108105,2020-10-07,182,0.223651,1
108105,2020-10-07,273,0.391474,1
108105,2020-10-07,365,0.340839,1
108105,2020-10-07,547,0.289499,1
108105,2020-10-07,730,0.269193,1
108105,2020-10-07,1825,0.193007,1
108105,2020-10-08,10,0.188815,1
108105,2020-10-08,14,0.1861,1
108105,2020-10-08,30,0.204718,1
108105,2020-10-08,60,0.19815,1
108105,2020-10-08,91,0.175264,1
108105,2020-10-08,122,0.207981,1
108105,2020-10-08,152,0.208833,1
108105,2020-10-08,182,0.223103,1
108105,2020-10-08,273,0.391506,1
108105,2020-10-08,365,0.340814,1
108105,2020-10-08,547,0.289554,1
108105,2020-10-08,730,0.269244,1
108105,2020-10-08,1825,0.19296,1
108105,2020-10-09,10,0.182532,1
108105,2020-10-09,14,0.178833,1
108105,2020-10-09,30,0.195962,1
108105,2020-10-09,60,0.199062,1
108105,2020-10-09,91,0.174953,1
108105,2020-10-09,122,0.207891,1
108105,2020-10-09,152,0.208141,1
108105,2020-10-09,182,0.222439,1
108105,2020-10-09,273,0.391611,1
108105,2020-10-09,365,0.340862,1
108105,2020-10-09,547,0.289632,1
108105,2020-10-09,730,0.268241,1
108105,2020-10-09,1825,0.192919,1
108105,2020-10-12,10,0.192215,1
108105,2020-10-12,14,0.179347,1
108105,2020-10-12,30,0.195172,1
108105,2020-10-12,60,0.203638,1
108105,2020-10-12,91,0.176046,1
108105,2020-10-12,122,0.180767,1
108105,2020-10-12,152,0.206132,1
108105,2020-10-12,182,0.222731,1
108105,2020-10-12,273,0.391971,1
108105,2020-10-12,365,0.341067,1
108105,2020-10-12,547,0.289877,1
108105,2020-10-12,730,0.268146,1
108105,2020-10-12,1825,0.193161,1
108105,2020-10-13,10,0.198105,1
108105,2020-10-13,14,0.181864,1
108105,2020-10-13,30,0.192891,1
108105,2020-10-13,60,0.204457,1
108105,2020-10-13,91,0.175207,1
108105,2020-10-13,122,0.180231,1
108105,2020-10-13,152,0.206027,1
108105,2020-10-13,182,0.219403,1
108105,2020-10-13,273,0.392041,1
108105,2020-10-13,365,0.341133,1
108105,2020-10-13,547,0.289929,1
108105,2020-10-13,730,0.267922,1
108105,2020-10-13,1825,0.193079,1
108105,2020-10-14,10,0.198348,1
108105,2020-10-14,14,0.189979,1
108105,2020-10-14,30,0.191471,1
108105,2020-10-14,60,0.202811,1
108105,2020-10-14,91,0.175259,1
108105,2020-10-14,122,0.179735,1
108105,2020-10-14,152,0.206436,1
108105,2020-10-14,182,0.217085,1
108105,2020-10-14,273,0.39212,1
108105,2020-10-14,365,0.341085,1
108105,2020-10-14,547,0.289988,1
108105,2020-10-14,730,0.267931,1
108105,2020-10-14,1825,0.193096,1
108105,2020-10-15,10,0.182916,1
108105,2020-10-15,14,0.191431,1
108105,2020-10-15,30,0.191217,1
108105,2020-10-15,60,0.200462,1
108105,2020-10-15,91,0.1751,1
108105,2020-10-15,122,0.179438,1
108105,2020-10-15,152,0.205518,1
108105,2020-10-15,182,0.217059,1
108105,2020-10-15,273,0.392015,1
108105,2020-10-15,365,0.341082,1
108105,2020-10-15,547,0.289984,1
108105,2020-10-15,730,0.267528,1
108105,2020-10-15,1825,0.193021,1
108105,2020-10-16,10,0.150432,1
108105,2020-10-16,14,0.179327,1
108105,2020-10-16,30,0.190186,1
108105,2020-10-16,60,0.200408,1
108105,2020-10-16,91,0.175083,1
108105,2020-10-16,122,0.176928,1
108105,2020-10-16,152,0.204563,1
