secid,date,low,high,open,close,volume,return,cfadj,cfret
108105,2020-08-31,3493.25,3514.77,3509.73,3500.31,0,-0.002195,1,1
108105,2020-09-01,3494.6,3528.03,3507.44,3526.65,0,0.007525,1,1
108105,2020-09-02,3535.23,3588.11,3543.76,3580.84,0,0.015366,1,1
108105,2020-09-03,3427.41,3564.85,3564.74,3455.06,0,-0.035126,1,1
108105,2020-09-04,3349.63,3479.15,3453.6,3426.96,0,-0.008133,1,1
108105,2020-09-08,3329.27,3379.97,3371.88,3331.84,0,-0.027756,1,1
108105,2020-09-09,3366.84,3424.77,3369.82,3398.96,0,0.020145,1,1
108105,2020-09-10,3329.25,3425.55,3412.56,3339.19,0,-0.017585,1,1
108105,2020-09-11,3310.47,3368.95,3352.7,3340.97,0,0.000533,1,1
108105,2020-09-14,3363.56,3402.93,3363.56,3383.54,0,0.012742,1,1
108105,2020-09-15,3389.25,3419.48,3407.73,3401.2,0,0.005219,1,1
108105,2020-09-16,3384.45,3428.92,3411.23,3385.49,0,-0.004619,1,1
108105,2020-09-17,3328.82,3375.17,3346.86,3357.01,0,-0.008412,1,1
108105,2020-09-18,3292.4,3362.27,3357.38,3319.47,0,-0.011183,1,1
108105,2020-09-21,3229.1,3285.57,3285.57,3281.06,0,-0.011571,1,1
108105,2020-09-22,3270.95,3320.31,3295.75,3315.57,0,0.010518,1,1
108105,2020-09-23,3232.57,3323.35,3320.11,3236.92,0,-0.023721,1,1
108105,2020-09-24,3209.45,3278.7,3226.14,3246.59,0,0.002987,1,1
108105,2020-09-25,3228.44,3306.88,3236.66,3298.46,0,0.015977,1,1
108105,2020-09-28,3332.91,3360.74,3333.9,3351.6,0,0.016111,1,1
108105,2020-09-29,3327.54,3357.92,3350.92,3335.47,0,-0.004813,1,1
108105,2020-09-30,3340.47,3393.56,3341.21,3363,0,0.008254,1,1
108105,2020-10-01,3361.39,3397.18,3385.87,3380.8,0,0.005293,1,1
108105,2020-10-02,3323.69,3369.1,3338.94,3348.44,0,-0.009572,1,1
108105,2020-10-05,3367.27,3409.57,3367.27,3408.63,0,0.017976,1,1
108105,2020-10-06,3354.54,3431.56,3408.74,3360.95,0,-0.013988,1,1
108105,2020-10-07,3384.56,3426.26,3384.56,3419.45,0,0.017406,1,1
108105,2020-10-08,3428.15,3447.28,3434.28,3446.83,0,0.008007,1,1
108105,2020-10-09,3458.07,3482.34,3459.67,3477.13,0,0.008791,1,1
108105,2020-10-12,3499.61,3549.85,3500.02,3534.22,0,0.016419,1,1
108105,2020-10-13,3500.86,3534.01,3534.01,3511.93,0,-0.006307,1,1
108105,2020-10-14,3480.55,3527.94,3515.47,3488.67,0,-0.006623,1,1
108105,2020-10-15,3440.89,3489.08,3453.72,3483.34,0,-0.001528,1,1
108105,2020-10-16,3480.45,3515.76,3493.5,3483.81,0,0.000135,1,1
108105,2020-10-19,3419.93,3502.42,3493.66,3426.92,0,-0.01633,1,1
108105,2020-10-20,3435.65,3476.93,3439.38,3443.12,0,0.004727,1,1
108105,2020-10-21,3433.06,3464.86,3439.91,3435.56,0,-0.002196,1,1
108105,2020-10-22,3415.34,3460.53,3438.5,3453.49,0,0.005219,1,1
108105,2020-10-23,3440.45,3466.46,3464.9,3465.39,0,0.003446,1,1
108105,2020-10-26,3364.86,3441.42,3441.42,3400.97,0,-0.01859,1,1
108105,2020-10-27,3388.71,3409.51,3403.15,3390.68,0,-0.003026,1,1
108105,2020-10-28,3268.89,3342.48,3342.48,3271.03,0,-0.035288,1,1
108105,2020-10-29,3259.82,3341.05,3277.17,3310.11,0,0.011947,1,1
108105,2020-10-30,3233.94,3304.93,3293.59,3269.96,0,-0.01213,1,1
108105,2020-11-02,3279.74,3330.14,3296.2,3310.24,0,0.012318,1,1
108105,2020-11-03,3336.25,3389.49,3336.25,3369.16,0,0.017757,1,1
108105,2020-11-04,3405.17,3486.25,3406.46,3443.44,0,0.022089,1,1
108105,2020-11-05,3485.74,3529.05,3485.74,3510.45,0,0.01946,1,1
108105,2020-11-06,3484.34,3521.58,3508.34,3509.44,0,-0.000288,1,1
108105,2020-11-09,3547.48,3645.99,3583.04,3550.5,0,0.0117,1,1
108105,2020-11-10,3511.91,3557.22,3543.26,3545.53,0,-0.0014,1,1
108105,2020-11-11,3557,3581.16,3563.22,3572.66,0,0.007652,1,1
108105,2020-11-12,3518.58,3569.02,3562.67,3537.01,0,-0.009979,1,1
108105,2020-11-13,3552.57,3593.66,3552.57,3585.15,0,0.01361,1,1
108105,2020-11-16,3600.16,3628.51,3600.16,3626.91,0,0.011648,1,1
108105,2020-11-17,3588.68,3623.11,3610.31,3609.53,0,-0.004792,1,1
108105,2020-11-18,3567.33,3619.09,3612.09,3567.79,0,-0.011564,1,1
108105,2020-11-19,3543.84,3585.22,3559.41,3581.87,0,0.003946,1,1
108105,2020-11-20,3556.85,3581.23,3579.31,3557.54,0,-0.006793,1,1
108105,2020-11-23,3552.77,3589.81,3566.82,3577.59,0,0.005636,1,1
108105,2020-11-24,3594.52,3642.31,3594.52,3635.41,0,0.016162,1,1
108105,2020-11-25,3617.76,3635.5,3635.5,3629.65,0,-0.001584,1,1
108105,2020-11-27,3629.33,3644.31,3638.55,3638.35,0,0.002397,1,1
108105,2020-11-30,3594.39,3634.18,3634.18,3621.63,0,-0.004596,1,1
108105,2020-12-01,3645.87,3678.45,3645.87,3662.45,0,0.011271,1,1
108105,2020-12-02,3644.84,3670.96,3653.78,3669.01,0,0.001791,1,1
108105,2020-12-03,3657.17,3682.73,3668.28,3666.72,0,-0.000624,1,1
108105,2020-12-04,3670.94,3699.2,3670.94,3699.12,0,0.008836,1,1
108105,2020-12-07,3678.88,3697.41,3694.73,3691.96,0,-0.001936,1,1
108105,2020-12-08,3678.83,3708.45,3683.05,3702.25,0,0.002787,1,1
108105,2020-12-09,3660.54,3712.39,3705.98,3672.82,0,-0.007949,1,1
108105,2020-12-10,3645.18,3678.49,3659.13,3668.1,0,-0.001285,1,1
108105,2020-12-11,3633.4,3665.91,3656.08,3663.46,0,-0.001265,1,1
108105,2020-12-14,3645.84,3697.61,3675.27,3647.49,0,-0.004359,1,1
108105,2020-12-15,3659.62,3695.29,3666.41,3694.62,0,0.012921,1,1
108105,2020-12-16,3688.57,3711.27,3696.25,3701.17,0,0.001773,1,1
108105,2020-12-17,3710.87,3725.12,3713.65,3722.48,0,0.005758,1,1
108105,2020-12-18,3685.84,3726.7,3722.39,3709.41,0,-0.003511,1,1
108105,2020-12-21,3636.48,3702.9,3684.28,3694.92,0,-0.003906,1,1
108105,2020-12-22,3676.16,3698.26,3698.08,3687.26,0,-0.002073,1,1
108105,2020-12-23,3689.28,3711.24,3693.42,3690.01,0,0.000746,1,1
108105,2020-12-24,3689.32,3703.82,3694.03,3703.06,0,0.003537,1,1
108105,2020-12-28,3723.03,3740.51,3723.03,3735.36,0,0.008723,1,1
108105,2020-12-29,3723.31,3756.12,3750.01,3727.04,0,-0.002227,1,1
108105,2020-12-30,3730.21,3744.63,3736.19,3732.04,0,0.001342,1,1
108105,2020-12-31,3726.88,3760.2,3733.27,3756.07,0,0.006439,1,1
108105,2021-01-04,3662.71,3769.99,3764.61,3700.65,0,-0.014755,1,1
108105,2021-01-05,3695.07,3737.83,3698.02,3726.86,0,0.007083,1,1
108105,2021-01-06,3705.34,3783.04,3712.2,3748.14,0,0.00571,1,1
108105,2021-01-07,3764.71,3811.55,3764.71,3803.79,0,0.014847,1,1
108105,2021-01-08,3783.6,3826.69,3815.05,3824.68,0,0.005492,1,1
108105,2021-01-11,3789.02,3817.86,3803.14,3799.61,0,-0.006555,1,1
108105,2021-01-12,3776.51,3810.78,3801.62,3801.19,0,0.000416,1,1
108105,2021-01-13,3791.5,3820.96,3802.23,3809.84,0,0.002276,1,1
108105,2021-01-14,3792.86,3823.6,3814.98,3795.54,0,-0.003753,1,1
108105,2021-01-15,3749.62,3788.73,3788.73,3768.25,0,-0.00719,1,1
108105,2021-01-19,3780.37,3804.53,3781.88,3798.91,0,0.008136,1,1
108105,2021-01-20,3816.22,3859.75,3816.22,3851.85,0,0.013936,1,1
108105,2021-01-21,3845.05,3861.45,3857.46,3853.07,0,0.000317,1,1
108105,2021-01-22,3830.41,3852.31,3844.24,3841.47,0,-0.003011,1,1
108105,2021-01-25,3797.16,3859.23,3851.68,3855.36,0,0.003616,1,1
108105,2021-01-26,3847.78,3870.9,3862.96,3849.62,0,-0.001489,1,1
108105,2021-01-27,3732.48,3836.83,3836.83,3750.77,0,-0.025678,1,1
108105,2021-01-28,3755.75,3830.5,3755.75,3787.38,0,0.009761,1,1
108105,2021-01-29,3694.12,3778.05,3778.05,3714.24,0,-0.019311,1,1
108105,2021-02-01,3725.62,3784.32,3731.17,3773.86,0,0.016052,1,1
108105,2021-02-02,3791.84,3843.09,3791.84,3826.31,0,0.013898,1,1
108105,2021-02-03,3816.68,3847.51,3840.27,3830.17,0,0.001009,1,1
108105,2021-02-04,3836.66,3872.42,3836.66,3871.74,0,0.010853,1,1
108105,2021-02-05,3874.93,3894.56,3878.3,3886.83,0,0.003897,1,1
108105,2021-02-08,3892.59,3915.77,3892.59,3915.59,0,0.007399,1,1
108105,2021-02-09,3902.64,3918.35,3910.49,3911.23,0,-0.001114,1,1
108105,2021-02-10,3884.94,3931.5,3920.78,3909.88,0,-0.000345,1,1
108105,2021-02-11,3890.39,3925.99,3916.4,3916.38,0,0.001662,1,1
108105,2021-02-12,3905.78,3937.23,3911.65,3934.83,0,0.004711,1,1
108105,2021-02-16,3923.85,3950.43,3939.61,3932.59,0,-0.000569,1,1
108105,2021-02-17,3900.43,3933.61,3918.5,3931.33,0,-0.00032,1,1
108105,2021-02-18,3885.03,3921.98,3915.86,3913.97,0,-0.004416,1,1
108105,2021-02-19,3903.07,3930.41,3921.16,3906.71,0,-0.001855,1,1
108105,2021-02-22,3874.71,3902.92,3885.55,3876.5,0,-0.007733,1,1
108105,2021-02-23,3805.59,3895.98,3857.07,3881.37,0,0.001256,1,1
108105,2021-02-24,3859.6,3928.65,3873.71,3925.43,0,0.011352,1,1
108105,2021-02-25,3814.04,3925.02,3915.8,3829.34,0,-0.024479,1,1
108105,2021-02-26,3789.54,3861.08,3839.66,3811.15,0,-0.00475,1,1
108105,2021-03-01,3842.51,3914.5,3842.51,3901.82,0,0.023791,1,1
108105,2021-03-02,3868.57,3906.41,3903.64,3870.29,0,-0.008081,1,1
108105,2021-03-03,3818.86,3874.47,3863.99,3819.72,0,-0.013066,1,1
108105,2021-03-04,3723.34,3843.67,3818.53,3768.47,0,-0.013417,1,1
108105,2021-03-05,3730.19,3851.69,3793.58,3841.94,0,0.019496,1,1
108105,2021-03-08,3819.25,3881.06,3844.39,3821.35,0,-0.005359,1,1
108105,2021-03-09,3851.93,3903.76,3851.93,3875.44,0,0.014155,1,1
108105,2021-03-10,3885.73,3917.35,3891.99,3898.81,0,0.00603,1,1
108105,2021-03-11,3915.54,3960.27,3915.54,3939.34,0,0.010395,1,1
108105,2021-03-12,3915.21,3944.99,3924.52,3943.34,0,0.001015,1,1
108105,2021-03-15,3923.54,3970.08,3942.96,3968.94,0,0.006492,1,1
108105,2021-03-16,3953.44,3981.04,3973.59,3962.71,0,-0.00157,1,1
108105,2021-03-17,3935.74,3983.87,3949.57,3974.12,0,0.002879,1,1
108105,2021-03-18,3910.86,3969.62,3953.5,3915.46,0,-0.014761,1,1
108105,2021-03-19,3886.75,3930.12,3913.14,3913.1,0,-0.000603,1,1
108105,2021-03-22,3914.16,3955.31,3916.48,3940.59,0,0.007025,1,1
108105,2021-03-23,3901.57,3949.13,3937.6,3910.52,0,-0.007631,1,1
108105,2021-03-24,3889.07,3942.08,3919.93,3889.14,0,-0.005467,1,1
108105,2021-03-25,3853.5,3919.54,3879.34,3909.52,0,0.00524,1,1
108105,2021-03-26,3917.12,3978.19,3917.12,3974.54,0,0.016631,1,1
108105,2021-03-29,3943.25,3981.83,3969.31,3971.09,0,-0.000868,1,1
108105,2021-03-30,3944.35,3968.01,3963.34,3958.55,0,-0.003158,1,1
108105,2021-03-31,3966.98,3994.41,3967.25,3972.89,0,0.003622,1,1
108105,2021-04-01,3992.78,4020.63,3992.78,4019.87,0,0.011825,1,1
108105,2021-04-05,4034.44,4083.42,4034.44,4077.91,0,0.014438,1,1
108105,2021-04-06,4068.14,4086.23,4075.57,4073.94,0,-0.000974,1,1
108105,2021-04-07,4068.31,4083.13,4074.29,4079.95,0,0.001475,1,1
108105,2021-04-08,4082.54,4098.19,4089.95,4097.17,0,0.004221,1,1
108105,2021-04-09,4095.51,4129.48,4096.11,4128.8,0,0.00772,1,1
108105,2021-04-12,4114.82,4131.76,4124.71,4127.99,0,-0.000196,1,1
108105,2021-04-13,4124.43,4148,4130.1,4141.59,0,0.003294,1,1
108105,2021-04-14,4120.87,4151.69,4141.58,4124.66,0,-0.004088,1,1
108105,2021-04-15,4139.76,4173.49,4139.76,4170.42,0,0.011094,1,1
108105,2021-04-16,4170.75,4191.31,4174.14,4185.47,0,0.003609,1,1
108105,2021-04-19,4150.47,4180.81,4179.8,4163.26,0,-0.005307,1,1
108105,2021-04-20,4118.38,4159.18,4159.18,4134.94,0,-0.006802,1,1
108105,2021-04-21,4126.35,4175.02,4128.42,4173.42,0,0.009306,1,1
108105,2021-04-22,4123.69,4179.57,4170.46,4134.98,0,-0.009211,1,1
108105,2021-04-23,4138.78,4194.17,4138.78,4180.17,0,0.010929,1,1
108105,2021-04-26,4182.36,4194.19,4185.03,4187.62,0,0.001782,1,1
108105,2021-04-27,4176.22,4193.35,4188.25,4186.72,0,-0.000215,1,1
108105,2021-04-28,4181.78,4201.53,4185.14,4183.18,0,-0.000846,1,1
108105,2021-04-29,4176.81,4218.78,4206.14,4211.47,0,0.006763,1,1
108105,2021-04-30,4174.85,4198.1,4198.1,4181.17,0,-0.007195,1,1
108105,2021-05-03,4188.03,4209.39,4191.98,4192.66,0,0.002748,1,1
108105,2021-05-04,4128.59,4179.04,4179.04,4164.66,0,-0.006678,1,1
108105,2021-05-05,4160.94,4187.72,4177.06,4167.59,0,0.000703,1,1
108105,2021-05-06,4147.33,4202.7,4169.14,4201.62,0,0.008165,1,1
108105,2021-05-07,4201.64,4238.04,4210.34,4232.6,0,0.007373,1,1
108105,2021-05-10,4188.13,4236.39,4228.29,4188.43,0,-0.010436,1,1
108105,2021-05-11,4111.53,4162.04,4150.34,4152.1,0,-0.008674,1,1
108105,2021-05-12,4056.88,4134.73,4130.55,4063.04,0,-0.021449,1,1
108105,2021-05-13,4074.99,4131.58,4074.99,4112.5,0,0.012173,1,1
108105,2021-05-14,4129.58,4183.13,4129.58,4173.85,0,0.014918,1,1
108105,2021-05-17,4142.69,4171.92,4169.92,4163.29,0,-0.00253,1,1
108105,2021-05-18,4125.99,4169.15,4165.94,4127.83,0,-0.008517,1,1
108105,2021-05-19,4061.41,4116.93,4098.45,4115.68,0,-0.002943,1,1
108105,2021-05-20,4121.97,4172.8,4121.97,4159.12,0,0.010555,1,1
108105,2021-05-21,4151.72,4188.72,4168.61,4155.86,0,-0.000784,1,1
108105,2021-05-24,4170.16,4209.52,4170.16,4197.05,0,0.009911,1,1
108105,2021-05-25,4182.52,4213.42,4205.94,4188.13,0,-0.002125,1,1
108105,2021-05-26,4184.11,4202.61,4191.59,4195.99,0,0.001877,1,1
108105,2021-05-27,4197.78,4213.38,4201.94,4200.88,0,0.001165,1,1
108105,2021-05-28,4203.57,4218.36,4210.77,4204.11,0,0.000769,1,1
108105,2021-06-01,4197.59,4234.12,4216.52,4202.04,0,-0.000492,1,1
108105,2021-06-02,4198.27,4217.37,4206.82,4208.12,0,0.001447,1,1
108105,2021-06-03,4167.93,4204.39,4191.43,4192.85,0,-0.003629,1,1
108105,2021-06-04,4206.05,4233.45,4206.05,4229.89,0,0.008834,1,1
108105,2021-06-07,4215.66,4232.34,4229.34,4226.52,0,-0.000797,1,1
108105,2021-06-08,4208.41,4236.74,4233.81,4227.26,0,0.000175,1,1
108105,2021-06-09,4218.74,4237.09,4232.99,4219.55,0,-0.001824,1,1
108105,2021-06-10,4220.34,4249.74,4228.56,4239.18,0,0.004652,1,1
108105,2021-06-11,4232.25,4248.38,4242.9,4247.44,0,0.001948,1,1
108105,2021-06-14,4234.07,4255.59,4248.31,4255.15,0,0.001815,1,1
108105,2021-06-15,4238.35,4257.16,4255.28,4246.59,0,-0.002012,1,1
108105,2021-06-16,4202.45,4251.89,4248.87,4223.7,0,-0.00539,1,1
108105,2021-06-17,4196.05,4232.29,4220.37,4221.86,0,-0.000436,1,1
108105,2021-06-18,4164.4,4204.78,4204.78,4166.45,0,-0.013124,1,1
108105,2021-06-21,4173.4,4226.24,4173.4,4224.79,0,0.014002,1,1
108105,2021-06-22,4217.27,4255.84,4224.61,4246.44,0,0.005124,1,1
108105,2021-06-23,4241.43,4256.6,4249.27,4241.84,0,-0.001083,1,1
108105,2021-06-24,4256.97,4271.28,4256.97,4266.49,0,0.005811,1,1
108105,2021-06-25,4271.16,4286.12,4274.45,4280.7,0,0.003331,1,1
108105,2021-06-28,4274.67,4292.14,4284.9,4290.61,0,0.002315,1,1
108105,2021-06-29,4287.04,4300.52,4293.21,4291.8,0,0.000277,1,1
108105,2021-06-30,4287.96,4302.43,4290.65,4297.5,0,0.001328,1,1
108105,2021-07-01,4300.73,4320.66,4300.73,4319.94,0,0.005222,1,1
108105,2021-07-02,4326.6,4355.43,4326.6,4352.34,0,0.0075,1,1
108105,2021-07-06,4314.37,4356.46,4356.46,4343.54,0,-0.002022,1,1
108105,2021-07-07,4329.79,4361.88,4351.01,4358.13,0,0.003359,1,1
108105,2021-07-08,4289.37,4330.88,4321.07,4320.82,0,-0.008561,1,1
108105,2021-07-09,4329.38,4371.6,4329.38,4369.55,0,0.011278,1,1
108105,2021-07-12,4364.03,4386.68,4372.41,4384.63,0,0.003451,1,1
108105,2021-07-13,4366.92,4392.37,4381.07,4369.21,0,-0.003517,1,1
108105,2021-07-14,4362.36,4393.68,4380.11,4374.3,0,0.001165,1,1
108105,2021-07-15,4340.7,4369.02,4369.02,4360.03,0,-0.003262,1,1
108105,2021-07-16,4322.53,4375.09,4367.43,4327.16,0,-0.007539,1,1
108105,2021-07-19,4233.13,4296.4,4296.4,4258.49,0,-0.01587,1,1
108105,2021-07-20,4262.05,4336.84,4265.11,4323.06,0,0.015163,1,1
108105,2021-07-21,4331.13,4359.7,4331.13,4358.69,0,0.008242,1,1
108105,2021-07-22,4350.06,4369.87,4361.27,4367.48,0,0.002017,1,1
