date,days,rate
2020-08-31,7,0.109752
2020-08-31,17,0.130237
2020-08-31,52,0.199518
2020-08-31,80,0.214845
2020-08-31,108,0.228795
2020-08-31,144,0.245093
2020-08-31,172,0.248103
2020-08-31,199,0.248141
2020-08-31,290,0.23548
2020-08-31,381,0.225237
2020-08-31,472,0.21992
2020-08-31,563,0.220417
2020-08-31,654,0.21866
2020-08-31,752,0.218564
2020-08-31,843,0.220136
2020-08-31,927,0.224527
2020-08-31,1025,0.229708
2020-08-31,1116,0.236183
2020-08-31,1207,0.244737
2020-08-31,1298,0.255997
2020-08-31,1389,0.267773
2020-08-31,1480,0.281214
2020-08-31,1571,0.296324
2020-08-31,1662,0.313382
2020-08-31,1753,0.331559
2020-08-31,1844,0.35094
2020-08-31,1935,0.371591
2020-08-31,2026,0.393568
2020-08-31,2117,0.415829
2020-08-31,2208,0.438549
2020-08-31,2299,0.461672
2020-08-31,2390,0.48496
2020-08-31,2481,0.508022
2020-08-31,2572,0.530884
2020-08-31,2663,0.553564
2020-08-31,2754,0.575748
2020-08-31,2852,0.599266
2020-08-31,2943,0.620331
2020-08-31,3034,0.64089
2020-08-31,3125,0.660988
2020-08-31,3216,0.679948
2020-08-31,3307,0.698143
2020-08-31,3398,0.715633
2020-08-31,3489,0.732607
2020-08-31,3580,0.748975
2020-09-01,7,0.108232
2020-09-01,13,0.121158
2020-09-01,48,0.20468
2020-09-01,76,0.218912
2020-09-01,104,0.230939
2020-09-01,140,0.245848
2020-09-01,168,0.247959
2020-09-01,195,0.247316
2020-09-01,286,0.233128
2020-09-01,377,0.222121
2020-09-01,468,0.216379
2020-09-01,559,0.216631
2020-09-01,650,0.213975
2020-09-01,748,0.213165
2020-09-01,839,0.214231
2020-09-01,923,0.218256
2020-09-01,1021,0.222601
2020-09-01,1112,0.228023
2020-09-01,1203,0.235306
2020-09-01,1294,0.245484
2020-09-01,1385,0.256321
2020-09-01,1476,0.268319
2020-09-01,1567,0.281864
2020-09-01,1658,0.297256
2020-09-01,1749,0.313681
2020-09-01,1840,0.331234
2020-09-01,1931,0.349995
2020-09-01,2022,0.370028
2020-09-01,2113,0.390514
2020-09-01,2204,0.411397
2020-09-01,2295,0.432829
2020-09-01,2386,0.454556
2020-09-01,2477,0.476172
2020-09-01,2568,0.49769
2020-09-01,2659,0.519119
2020-09-01,2750,0.540133
2020-09-01,2848,0.562128
2020-09-01,2939,0.581867
2020-09-01,3030,0.601181
2020-09-01,3121,0.620104
2020-09-01,3212,0.637956
2020-09-01,3303,0.655102
2020-09-01,3394,0.6716
2020-09-01,3485,0.687632
2020-09-01,3576,0.703105
2020-09-02,7,0.104561
2020-09-02,12,0.115937
2020-09-02,47,0.208898
2020-09-02,75,0.223638
2020-09-02,103,0.235875
2020-09-02,139,0.252238
2020-09-02,167,0.25499
2020-09-02,194,0.254775
2020-09-02,285,0.241392
2020-09-02,376,0.230808
2020-09-02,467,0.225336
2020-09-02,558,0.22578
2020-09-02,649,0.223258
2020-09-02,747,0.221893
2020-09-02,838,0.222563
2020-09-02,922,0.226296
2020-09-02,1020,0.230358
2020-09-02,1111,0.235565
2020-09-02,1202,0.242667
2020-09-02,1293,0.252691
2020-09-02,1384,0.263394
2020-09-02,1475,0.275277
2020-09-02,1566,0.288426
2020-09-02,1657,0.303468
2020-09-02,1748,0.319315
2020-09-02,1839,0.336349
2020-09-02,1930,0.354401
2020-09-02,2021,0.373789
2020-09-02,2112,0.393469
2020-09-02,2203,0.413612
2020-09-02,2294,0.434164
2020-09-02,2385,0.455077
2020-09-02,2476,0.475939
2020-09-02,2567,0.496757
2020-09-02,2658,0.517534
2020-09-02,2749,0.537939
2020-09-02,2847,0.55932
2020-09-02,2938,0.578528
2020-09-02,3029,0.59734
2020-09-02,3120,0.615793
2020-09-02,3211,0.633199
2020-09-02,3302,0.649924
2020-09-02,3393,0.666024
2020-09-02,3484,0.681678
2020-09-02,3575,0.696793
2020-09-03,7,0.103923
2020-09-03,11,0.113818
2020-09-03,46,0.208484
2020-09-03,74,0.221662
2020-09-03,102,0.23317
2020-09-03,138,0.249035
2020-09-03,166,0.251489
2020-09-03,193,0.250345
2020-09-03,284,0.235087
2020-09-03,375,0.223545
2020-09-03,466,0.217501
2020-09-03,557,0.217571
2020-09-03,648,0.214774
2020-09-03,746,0.213191
2020-09-03,837,0.213155
2020-09-03,921,0.216364
2020-09-03,1019,0.219924
2020-09-03,1110,0.224744
2020-09-03,1201,0.231521
2020-09-03,1292,0.240911
2020-09-03,1383,0.250731
2020-09-03,1474,0.26184
2020-09-03,1565,0.274307
2020-09-03,1656,0.288464
2020-09-03,1747,0.30352
2020-09-03,1838,0.319842
2020-09-03,1929,0.33725
2020-09-03,2020,0.355597
2020-09-03,2111,0.374107
2020-09-03,2202,0.393178
2020-09-03,2293,0.412743
2020-09-03,2384,0.432745
2020-09-03,2475,0.452764
2020-09-03,2566,0.472798
2020-09-03,2657,0.492844
2020-09-03,2748,0.512568
2020-09-03,2846,0.533264
2020-09-03,2937,0.551876
2020-09-03,3028,0.570129
2020-09-03,3119,0.588054
2020-09-03,3210,0.604962
2020-09-03,3301,0.621217
2020-09-03,3392,0.636871
2020-09-03,3483,0.652103
2020-09-03,3574,0.666817
2020-09-04,7,0.11102
2020-09-04,10,0.116937
2020-09-04,45,0.215223
2020-09-04,73,0.22794
2020-09-04,101,0.239227
2020-09-04,137,0.253616
2020-09-04,165,0.255308
2020-09-04,192,0.253621
2020-09-04,283,0.240514
2020-09-04,374,0.23132
2020-09-04,465,0.227707
2020-09-04,556,0.230253
2020-09-04,647,0.229944
2020-09-04,745,0.231029
2020-09-04,836,0.234014
2020-09-04,920,0.239947
2020-09-04,1018,0.246605
2020-09-04,1109,0.254644
2020-09-04,1200,0.264537
2020-09-04,1291,0.276961
2020-09-04,1382,0.290083
2020-09-04,1473,0.304712
2020-09-04,1564,0.320584
2020-09-04,1655,0.33805
2020-09-04,1746,0.356334
2020-09-04,1837,0.375563
2020-09-04,1928,0.395843
2020-09-04,2019,0.417259
2020-09-04,2110,0.438792
2020-09-04,2201,0.460843
2020-09-04,2292,0.483152
2020-09-04,2383,0.50588
2020-09-04,2474,0.528425
2020-09-04,2565,0.550804
2020-09-04,2656,0.573035
2020-09-04,2747,0.594798
2020-09-04,2845,0.617717
2020-09-04,2936,0.638261
2020-09-04,3027,0.658328
2020-09-04,3118,0.677962
2020-09-04,3209,0.696482
2020-09-04,3300,0.71426
2020-09-04,3391,0.731354
2020-09-04,3482,0.747951
2020-09-04,3573,0.76396
2020-09-08,7,0.110259
2020-09-08,30,0.15765
2020-09-08,41,0.175136
2020-09-08,69,0.206915
2020-09-08,97,0.226199
2020-09-08,133,0.247291
2020-09-08,161,0.251887
2020-09-08,188,0.252111
2020-09-08,279,0.239309
2020-09-08,370,0.229066
2020-09-08,461,0.223866
2020-09-08,552,0.225393
2020-09-08,643,0.223619
2020-09-08,741,0.222866
2020-09-08,832,0.223988
2020-09-08,916,0.228079
2020-09-08,1014,0.232973
